Unnamed: 0,Country,Player,Team,Base price,Winning bid,Year,team
1036, West Indies,Akeal Hosein,Sunrisers Hyderabad,100.0,100,2023,Sunrisers Hyderabad
1037, Australia,Adam Zampa,Rajasthan Royals,150.0,150,2023,Rajasthan Royals
1038, India,Anmolpreet Singh,Sunrisers Hyderabad,20.0,20,2023,Sunrisers Hyderabad
1039, India,KM Asif,Rajasthan Royals,20.0,30,2023,Rajasthan Royals
1040, India,Murugan Ashwin,Rajasthan Royals,20.0,20,2023,Rajasthan Royals
1041, India,Mandeep Singh,Kolkata Knight Riders,50.0,50,2023,Kolkata Knight Riders
1042, India,Akash Vasisht,Rajasthan Royals,20.0,20,2023,Rajasthan Royals
1043, Afghanistan,Naveen-ul-Haq,Lucknow Super Giants,50.0,50,2023,Lucknow Super Giants
1044, India,Yudhvir Singh Charak,Lucknow Super Giants,20.0,20,2023,Lucknow Super Giants
1045, India,Raghav Goyal,Mumbai Indians,20.0,20,2023,Mumbai Indians
1046, India,Abdul Basith,Rajasthan Royals,20.0,20,2023,Rajasthan Royals
1047, England,Joe Root,Rajasthan Royals,100.0,100,2023,Rajasthan Royals
1048, Bangladesh,Shakib al Hasan,Kolkata Knight Riders,150.0,150,2023,Kolkata Knight Riders
1049, India,Abdul Basith,Rajasthan Royals,20.0,20,2023,Rajasthan Royals
1050, England,Joe Root,Rajasthan Royals,100.0,100,2023,Rajasthan Royals
1051, Bangladesh,Shakib al Hasan,Kolkata Knight Riders,150.0,150,2023,Kolkata Knight Riders
